【おいしいタピオカ】当店名物|Signature tapioca drinks|招牌珍珠饮品|招牌珍珠飲品|시그니처 타피오카 음료|Đồ uống trân châu đặc trưng|विशेष टापिओका पेय
職人仕立てのクラフトミルク|Craft milk drinks|手作牛奶饮品|手作鮮奶飲品|수제 밀크 음료|Sữa thủ công|हस्तनिर्मित दूधका पेय
個性がきらめくオリジナルフラッペ|Original frappes|特色冰沙|特色冰沙|오리지널 프라페|Frappe đặc trưng|विशेष फ्रापे
特別仕立ての自家製チーズティー|House-made cheese tea|自制奶盖茶|自製奶蓋茶|수제 치즈 티|Trà kem phô mai tự làm|घरमै बनाइएको चीज चिया
店内抽出のタピオカティー|Fresh-brewed tapioca tea|现萃珍珠茶|現萃珍珠茶|매장에서 우린 타피오카 티|Trà trân châu pha tại cửa hàng|पसलमै बनाइएको टापिओका चिया
完熟果実のスムージー|Ripe fruit smoothies|熟果思慕雪|熟果思慕雪|완숙 과일 스무디|Sinh tố trái cây chín|पाकेका फलफूलको स्मूदी
香り豊かなスペシャルドリンク|Aromatic special drinks|香醇特调饮品|香醇特調飲品|향긋한 스페셜 음료|Đồ uống đặc biệt thơm ngon|सुगन्धित विशेष पेय
オリジナルティーエード|Original tea ades|特色果味茶|特色果味茶|오리지널 티 에이드|Trà trái cây đặc trưng|विशेष टी एड
【名門農園品】特選ラテ|Selected estate lattes|精选茶园拿铁|精選茶園拿鐵|엄선한 농원 라테|Latte từ nông trại tuyển chọn|चयनित बगानका लाटे
フード|Food|食品|餐點|푸드|Đồ ăn|खाना
期間限定品|Limited-time specials|期间限定|期間限定|기간 한정|Ưu đãi theo mùa|सीमित अवधिका विशेष वस्तु
タピオカコーヒー|Tapioca coffee|珍珠咖啡|珍珠咖啡|타피오카 커피|Cà phê trân châu|टापिओका कफी
Tea & Coffee|Tea & Coffee|茶与咖啡|茶與咖啡|차와 커피|Trà & Cà phê|चिया र कफी
とろとろ国産豚なんこつ麻辣串|Tender Japanese pork cartilage mala skewers|软嫩日本猪软骨麻辣串|軟嫩日本豬軟骨麻辣串|부드러운 일본산 돼지 연골 마라 꼬치|Xiên sụn heo Nhật mềm vị mala|नरम जापानी सुँगुरको कुरकुरे हाडको माला स्क्युअर
海老カクテルマーラータン|Shrimp cocktail malatang|鲜虾麻辣烫|鮮蝦麻辣燙|새우 칵테일 마라탕|Malatang tôm cocktail|श्रिम्प ककटेल मालाताङ
【自由にカスタム】汁無しカップマーラータン|Build-your-own dry malatang cup|自选干拌杯装麻辣烫|自選乾拌杯裝麻辣燙|내 맘대로 고르는 국물 없는 컵 마라탕|Malatang khô dạng cốc tùy chọn|आफ्नो रोजाइको झोलरहित कप मालाताङ
３種の特選団子麻辣串|Three selected dumpling mala skewers|三种精选丸子麻辣串|三種精選丸子麻辣串|엄선한 완자 3종 마라 꼬치|Xiên mala ba loại viên tuyển chọn|तीन प्रकारका चयनित डम्प्लिङ माला स्क्युअर
山盛りポテトマーラータン|Malatang with a generous serving of potatoes|满满土豆麻辣烫|滿滿馬鈴薯麻辣燙|감자 듬뿍 마라탕|Malatang đầy khoai tây|प्रशस्त आलु भएको मालाताङ
サイズ|Size|规格|規格|사이즈|Kích cỡ|आकार
オプション|Options|选项|選項|옵션|Tùy chọn|विकल्प
甘さ|Sweetness|甜度|甜度|당도|Độ ngọt|गुलियोपन
温度|Temperature|温度|溫度|온도|Nhiệt độ|तापक्रम
氷|Ice|冰量|冰量|얼음|Đá|बरफ
トッピング|Toppings|配料|配料|토핑|Topping|टपिङ
ザクザクオレオ追加|Add crunchy Oreo|加脆脆奥利奥|加酥脆 Oreo|바삭한 오레오 추가|Thêm Oreo giòn|कुरकुरे Oreo थप्नुहोस्
濃厚リッチにご褒美カスタム|Rich indulgent extras|浓郁升级选项|濃郁升級選項|진한 맛 추가 옵션|Tùy chọn thêm vị đậm đà|गाढा स्वादका थप विकल्प
高品質なエスプレッソで作った珈琲ジェリーのトッピングはいかがでしょうか？|Add premium espresso coffee jelly|加精选浓缩咖啡冻|加精選濃縮咖啡凍|고급 에스프레소 커피 젤리 추가|Thêm thạch cà phê espresso cao cấp|उत्कृष्ट एस्प्रेसो कफी जेली थप्नुहोस्
プレミアムトッピング|Premium toppings|精选配料|精選配料|프리미엄 토핑|Topping cao cấp|प्रिमियम टपिङ
バージョン|Version|版本|版本|버전|Phiên bản|संस्करण
癖になる食感|Extra texture|丰富口感|豐富口感|식감 추가|Thêm kết cấu thú vị|थप स्वादिलो बनावट
タンパク質を補給する|Add protein|加蛋白质|加蛋白質|단백질 추가|Thêm protein|प्रोटिन थप्नुहोस्
トッピング抜き|Remove toppings|去除配料|去除配料|토핑 빼기|Bỏ topping|टपिङ हटाउनुहोस्
ぷるぷる食感でご褒美タイム🥰|Jelly and pudding treats 🥰|果冻布丁加料 🥰|果凍布丁加料 🥰|탱글탱글 젤리와 푸딩 🥰|Thạch và pudding mềm mịn 🥰|जेली र पुडिङको स्वाद 🥰
ご一緒にお口直しのカットフルーツはいかがでしょうか？|Add refreshing cut fruit|加清爽鲜切水果|加清爽鮮切水果|상큼한 컷 과일 추가|Thêm trái cây cắt tươi mát|ताजा काटिएको फलफूल थप्नुहोस्
濃い抹茶カスタマイズ🍵|Extra matcha 🍵|加浓抹茶 🍵|加濃抹茶 🍵|진한 말차 추가 🍵|Thêm matcha đậm vị 🍵|थप गाढा माचा 🍵
スペシャルアレンジ|Special extras|特色加料|特色加料|스페셜 추가 옵션|Tùy chọn đặc biệt|विशेष थप विकल्प
追い練乳|Extra condensed milk|加炼乳|加煉乳|연유 추가|Thêm sữa đặc|कन्डेन्स्ड मिल्क थप्नुहोस्
ザクザクカスタマイズ|Crunchy extras|酥脆加料|酥脆加料|바삭한 추가 옵션|Topping giòn|कुरकुरे थप विकल्प
フルーツフレーバー追加|Add fruit flavor|加水果风味|加水果風味|과일 맛 추가|Thêm vị trái cây|फलफूलको स्वाद थप्नुहोस्
追い苺|Extra strawberry|加草莓|加草莓|딸기 추가|Thêm dâu tây|स्ट्रबेरी थप्नुहोस्
【エンドロールまでなくならない】全てを忘れる没入タイムに（通常のサイズ選択の欄はレギュラーにチェックをいれてください）|Extra-large upgrade (select Regular in the standard size field)|超大杯升级（常规规格请选择 Regular）|超大杯升級（一般規格請選 Regular）|초대용량 업그레이드 (기본 사이즈는 레귤러 선택)|Nâng cấp siêu lớn (chọn Regular ở mục kích cỡ thường)|अति ठूलो आकारमा अपग्रेड (सामान्य आकारमा Regular छान्नुहोस्)
プレミアム（濃厚さ・甘さ２倍）|Premium (double richness and sweetness)|浓郁版（浓度与甜度加倍）|濃郁版（濃度與甜度加倍）|프리미엄 (진함·당도 2배)|Cao cấp (đậm đà và ngọt gấp đôi)|प्रिमियम (गाढापन र गुलियोपन दोब्बर)
ライト（低カロリー）|Light (lower calorie)|轻盈版（低热量）|輕盈版（低熱量）|라이트 (저칼로리)|Nhẹ (ít calo)|लाइट (कम क्यालोरी)
ザクザクオレオ+|Extra crunchy Oreo|脆脆奥利奥+|酥脆 Oreo+|바삭한 오레오+|Oreo giòn thêm|थप कुरकुरे Oreo
クリームフォーム追加|Add cream foam|加奶盖|加奶蓋|크림 폼 추가|Thêm kem sữa|क्रिम फोम थप्नुहोस्
Regular（500ml）|Regular (500ml)|常规杯（500ml）|標準杯（500ml）|레귤러 (500ml)|Vừa (500ml)|मध्यम (500ml)
豆乳変更|Switch to soy milk|换豆奶|換豆漿|두유로 변경|Đổi sang sữa đậu nành|सोया दूधमा बदल्नुहोस्
ココナッツミルク変更|Switch to coconut milk|换椰奶|換椰奶|코코넛 밀크로 변경|Đổi sang sữa dừa|नरिवल दूधमा बदल्नुहोस्
アーモンドミルク変更|Switch to almond milk|换扁桃仁奶|換杏仁奶|아몬드 밀크로 변경|Đổi sang sữa hạnh nhân|बदाम दूधमा बदल्नुहोस्
ピーチ追加|Add peach|加桃子|加桃子|복숭아 추가|Thêm đào|आरु थप्नुहोस्
氷少なめ|Less ice|少冰|少冰|얼음 적게|Ít đá|कम बरफ
氷抜き|No ice|去冰|去冰|얼음 없이|Không đá|बरफ नराख्नुहोस्
氷標準|Regular ice|正常冰|正常冰|얼음 보통|Đá bình thường|सामान्य बरफ
温かい|Warm|温热|溫熱|따뜻하게|Ấm|तातो
シロップ100％（デフォルト） 100%|100% syrup (default)|100% 糖浆（默认）|100% 糖漿（預設）|시럽 100% (기본)|100% siro (mặc định)|100% सिरप (पूर्वनिर्धारित)
シロップ150% 150%|150% syrup|150% 糖浆|150% 糖漿|시럽 150%|150% siro|150% सिरप
シロップ50％ 50%|50% syrup|50% 糖浆|50% 糖漿|시럽 50%|50% siro|50% सिरप
シロップ0％ 0%|0% syrup|0% 糖浆|0% 糖漿|시럽 0%|0% siro|0% सिरप
粒々みかんジュレ🍊|Mandarin orange pulp jelly 🍊|橘子果粒冻 🍊|橘子果粒凍 🍊|귤 과육 젤리 🍊|Thạch quýt có tép 🍊|सुन्तलाका दानासहित जेली 🍊
極み濃厚マンゴープリン🥭|Rich mango pudding 🥭|浓郁芒果布丁 🥭|濃郁芒果布丁 🥭|진한 망고 푸딩 🥭|Pudding xoài đậm vị 🥭|गाढा आँप पुडिङ 🥭
フレッシュな生苺🍓|Fresh strawberry 🍓|新鲜草莓 🍓|新鮮草莓 🍓|신선한 딸기 🍓|Dâu tây tươi 🍓|ताजा स्ट्रबेरी 🍓
フレッシュな生パイナップル🍍|Fresh pineapple 🍍|新鲜菠萝 🍍|新鮮鳳梨 🍍|신선한 파인애플 🍍|Dứa tươi 🍍|ताजा भुइँकटहर 🍍
タピオカ追加|Add tapioca pearls|加珍珠|加珍珠|타피오카 추가|Thêm trân châu|टापिओका थप्नुहोस्
【特選品質】特製チーズフォーム追加|Add premium house-made cheese foam|加精选自制奶酪奶盖|加精選自製起司奶蓋|엄선한 수제 치즈 폼 추가|Thêm kem phô mai tự làm cao cấp|उत्कृष्ट घरमै बनाइएको चीज फोम थप्नुहोस्
とろ〜り濃厚国産練乳っ|Rich Japanese condensed milk|浓郁日本炼乳|濃郁日本煉乳|진한 일본산 연유|Sữa đặc Nhật đậm đà|गाढा जापानी कन्डेन्स्ड मिल्क
ホイップ抜き|No whipped cream|去鲜奶油|去鮮奶油|휘핑크림 빼기|Không kem tươi|ह्विप्ड क्रिम नराख्नुहोस्
タピオカ抜き|No tapioca pearls|去珍珠|去珍珠|타피오카 빼기|Không trân châu|टापिओका नराख्नुहोस्
【鬼練乳】濃厚国産練乳5倍|Japanese condensed milk ×5|日本浓郁炼乳 ×5|日本濃郁煉乳 ×5|진한 일본산 연유 5배|Sữa đặc Nhật đậm đà ×5|जापानी कन्डेन्स्ड मिल्क ×5
